Area,Country,PersonID,Gender,DOB,Surname,GivenName,School,GP
Abbey,England,0,Female,16/09/1945 00:00,Duncan,Aimee,Abbey School,Abbey GP
Abbey,England,1,Male,09/04/2000 00:00,Douglas,Joseph,Abbey School,Abbey GP
Abbey,England,2,Male,20/03/2010 00:00,Elliott,Finlay,Abbey School,Abbey GP
Bagley,England,3,Male,22/06/2012 00:00,Doyle,Connor,Bagley School,Bagely GP
Bagley,England,4,Female,20/11/1937 00:00,O'Donnell,Yasmin,Bagley School,Bagely GP
Bagley,England,5,Male,11/01/1951 00:00,Davison,Charles,Bagley School,Bagely GP
Battlefield,England,6,Female,19/01/1944 00:00,Wells,Lily,Battlefield School,Battlefield GP
Battlefield,England,7,Female,11/01/1953 00:00,Blackburn,Madeleine,Battlefield School,Battlefield GP
Battlefield,England,8,Female,29/03/1980 00:00,Thorpe,Isabella,Battlefield School,Battlefield GP
Belle Vue,England,9,Female,19/10/1980 00:00,Perkins,Sophie,Belle Vue School,Belle Vue GP
Belle Vue,England,10,Female,02/11/1975 00:00,Kemp,Kiera,Belle Vue School,Belle Vue GP
Belle Vue,England,11,Male,09/10/2005 00:00,Hardy,Peter,Belle Vue School,Belle Vue GP
Bowbrook,England,12,Female,12/01/1940 00:00,Macdonald,Millie,Bowbrook School,Bowbrook GP
Bowbrook,England,13,Female,17/09/1956 00:00,Austin,Samantha,Bowbrook School,Bowbrook GP
Bowbrook,England,14,Female,26/04/1978 00:00,Morris,Yasmin,Bowbrook School,Bowbrook GP
Castlefields and Ditherington,England,15,Male,19/07/1984 00:00,Walton,Luca,Ditherington School,Castlefields GP
Castlefields and Ditherington,England,16,Female,20/07/1997 00:00,Ross,Lucy,Ditherington School,Castlefields GP
Castlefields and Ditherington,England,17,Male,30/10/1983 00:00,Walker,Freddie,Castlefields School,Castlefields GP
Column,England,18,Male,01/09/1992 00:00,Douglas,Jake,Column School,Column GP
Column,England,19,Female,27/10/2002 00:00,Miah,Naomi,Column School,Column GP
Column,England,20,Male,21/04/1958 00:00,Archer,Nathan,Column School,Column GP
Copthorne,England,21,Male,18/12/2003 00:00,Daly,Spencer,Copthorne School,Copthorne GP
Copthorne,England,22,Male,23/06/1986 00:00,Ryan,Mohammad,Copthorne School,Copthorne GP
Copthorne,England,23,Female,16/01/1946 00:00,Burton,Yasmin,Copthorne School,Copthorne GP
Harlescott,England,24,Female,05/03/1988 00:00,Burgess,Amelia,Harlescott School,Harlescott GP
Harlescott,England,25,Female,31/10/1965 00:00,Booth,Abbie,Harlescott School,Harlescott GP
Harlescott,England,26,Female,14/11/1988 00:00,Warner,Hollie,Harlescott School,Harlescott GP
Meole,England,27,Male,17/04/1968 00:00,Stokes,Louis,Meole School,Meole GP
Meole,England,28,Female,25/06/1998 00:00,Fleming,Poppy,Meole School,Meole GP
Meole,England,29,Male,01/06/1967 00:00,Matthews,Joshua,Meole School,Meole GP
Monkmoor,England,30,Female,20/06/2010 00:00,Whittaker,Daisy,Monkmoor School,Monkmoor GP
Monkmoor,England,31,Male,08/10/1978 00:00,Rice,Luca,Monkmoor School,Monkmoor GP
Monkmoor,England,32,Female,22/12/1975 00:00,Daly,Eva,Monkmoor School,Monkmoor GP
Porthill,England,33,Male,30/10/1943 00:00,Dean,Thomas,Porthill School,Porthill GP
Porthill,England,34,Female,10/06/2003 00:00,Sharp,Caitlin,Porthill School,Porthill GP
Porthill,England,35,Male,12/04/2002 00:00,Burrows,Scott,Porthill School,Porthill GP
Quarry and Coton Hill,England,36,Male,19/10/1981 00:00,Grant,Scott,Quarry School,Quarry GP
Quarry and Coton Hill,England,37,Male,01/01/1962 00:00,Bennett,Zachary,Coton Hill School,Quarry GP
Quarry and Coton Hill,England,38,Male,10/06/1998 00:00,Ross,Jay,Coton Hill School,Quarry GP
Radbrook,England,39,Male,06/06/1963 00:00,Wheeler,Ryan,Radbrook School,Radbrook GP
Radbrook,England,40,Male,22/08/1946 00:00,Gibson,Rhys,Radbrook School,Radbrook GP
Radbrook,England,41,Male,10/04/1987 00:00,Ashton,Dylan,Radbrook School,Radbrook GP
Sundorne,England,42,Male,25/01/2011 00:00,Norman,Noah,Sundorne School,Sundorne GP
Sundorne,England,43,Female,02/03/1958 00:00,Metcalfe,Madeleine,Sundorne School,Sundorne GP
Sundorne,England,44,Male,24/05/1969 00:00,Barry,Callum,Sundorne School,Sundorne GP
Sutton and Reabrook,England,45,Female,28/05/1996 00:00,Franklin,Alisha,Sutton School,Sutton GP
Sutton and Reabrook,England,46,Male,16/11/1992 00:00,Willis,Muhammad,Reabrook School,Sutton GP
Sutton and Reabrook,England,47,Female,28/07/1974 00:00,Chapman,Tegan,Reabrook School,Sutton GP
Underdale,England,48,Male,28/09/1992 00:00,Hawkins,Bailey,Underdale School,Underdale GP
Underdale,England,49,Female,03/12/2000 00:00,Bradley,Laura,Underdale School,Underdale GP
Underdale,England,50,Female,30/01/1940 00:00,Lucas,Eve,Underdale School,Underdale GP
