"Area","Country","PersonID","Gender","DOB","Surname","GivenName","School","GP"
"Abbey","England","0","Female","1945-09-16 00:00:00","Duncan","Aimee","Abbey School","Abbey GP"
"Abbey","England","1","Male","2000-04-09 00:00:00","Douglas","Joseph","Abbey School","Abbey GP"
"Abbey","England","2","Male","2010-03-20 00:00:00","Elliott","Finlay","Abbey School","Abbey GP"
"Bagley","England","3","Male","2012-06-22 00:00:00","Doyle","Connor","Bagley School","Bagely GP"
"Bagley","England","4","Female","1937-11-20 00:00:00","O'Donnell","Yasmin","Bagley School","Bagely GP"
"Bagley","England","5","Male","1951-01-11 00:00:00","Davison","Charles","Bagley School","Bagely GP"
"Battlefield","England","6","Female","1944-01-19 00:00:00","Wells","Lily","Battlefield School","Battlefield GP"
"Battlefield","England","7","Female","1953-01-11 00:00:00","Blackburn","Madeleine","Battlefield School","Battlefield GP"
"Battlefield","England","8","Female","1980-03-29 00:00:00","Thorpe","Isabella","Battlefield School","Battlefield GP"
"Belle Vue","England","9","Female","1980-10-19 00:00:00","Perkins","Sophie","Belle Vue School","Belle Vue GP"
"Belle Vue","England","10","Female","1975-11-02 00:00:00","Kemp","Kiera","Belle Vue School","Belle Vue GP"
"Belle Vue","England","11","Male","2005-10-09 00:00:00","Hardy","Peter","Belle Vue School","Belle Vue GP"
"Bowbrook","England","12","Female","1940-01-12 00:00:00","Macdonald","Millie","Bowbrook School","Bowbrook GP"
"Bowbrook","England","13","Female","1956-09-17 00:00:00","Austin","Samantha","Bowbrook School","Bowbrook GP"
"Bowbrook","England","14","Female","1978-04-26 00:00:00","Morris","Yasmin","Bowbrook School","Bowbrook GP"
"Castlefields and Ditherington","England","15","Male","1984-07-19 00:00:00","Walton","Luca","Ditherington School","Castlefields GP"
"Castlefields and Ditherington","England","16","Female","1997-07-20 00:00:00","Ross","Lucy","Ditherington School","Castlefields GP"
"Castlefields and Ditherington","England","17","Male","1983-10-30 00:00:00","Walker","Freddie","Castlefields School","Castlefields GP"
"Column","England","18","Male","1992-09-01 00:00:00","Douglas","Jake","Column School","Column GP"
"Column","England","19","Female","2002-10-27 00:00:00","Miah","Naomi","Column School","Column GP"
"Column","England","20","Male","1958-04-21 00:00:00","Archer","Nathan","Column School","Column GP"
"Copthorne","England","21","Male","2003-12-18 00:00:00","Daly","Spencer","Copthorne School","Copthorne GP"
"Copthorne","England","22","Male","1986-06-23 00:00:00","Ryan","Mohammad","Copthorne School","Copthorne GP"
"Copthorne","England","23","Female","1946-01-16 00:00:00","Burton","Yasmin","Copthorne School","Copthorne GP"
"Harlescott","England","24","Female","1988-03-05 00:00:00","Burgess","Amelia","Harlescott School","Harlescott GP"
"Harlescott","England","25","Female","1965-10-31 00:00:00","Booth","Abbie","Harlescott School","Harlescott GP"
"Harlescott","England","26","Female","1988-11-14 00:00:00","Warner","Hollie","Harlescott School","Harlescott GP"
"Meole","England","27","Male","1968-04-17 00:00:00","Stokes","Louis","Meole School","Meole GP"
"Meole","England","28","Female","1998-06-25 00:00:00","Fleming","Poppy","Meole School","Meole GP"
"Meole","England","29","Male","1967-06-01 00:00:00","Matthews","Joshua","Meole School","Meole GP"
"Monkmoor","England","30","Female","2010-06-20 00:00:00","Whittaker","Daisy","Monkmoor School","Monkmoor GP"
"Monkmoor","England","31","Male","1978-10-08 00:00:00","Rice","Luca","Monkmoor School","Monkmoor GP"
"Monkmoor","England","32","Female","1975-12-22 00:00:00","Daly","Eva","Monkmoor School","Monkmoor GP"
"Porthill","England","33","Male","1943-10-30 00:00:00","Dean","Thomas","Porthill School","Porthill GP"
"Porthill","England","34","Female","2003-06-10 00:00:00","Sharp","Caitlin","Porthill School","Porthill GP"
"Porthill","England","35","Male","2002-04-12 00:00:00","Burrows","Scott","Porthill School","Porthill GP"
"Quarry and Coton Hill","England","36","Male","1981-10-19 00:00:00","Grant","Scott","Quarry School","Quarry GP"
"Quarry and Coton Hill","England","37","Male","1962-01-01 00:00:00","Bennett","Zachary","Coton Hill School","Quarry GP"
"Quarry and Coton Hill","England","38","Male","1998-06-10 00:00:00","Ross","Jay","Coton Hill School","Quarry GP"
"Radbrook","England","39","Male","1963-06-06 00:00:00","Wheeler","Ryan","Radbrook School","Radbrook GP"
"Radbrook","England","40","Male","1946-08-22 00:00:00","Gibson","Rhys","Radbrook School","Radbrook GP"
"Radbrook","England","41","Male","1987-04-10 00:00:00","Ashton","Dylan","Radbrook School","Radbrook GP"
"Sundorne","England","42","Male","2011-01-25 00:00:00","Norman","Noah","Sundorne School","Sundorne GP"
"Sundorne","England","43","Female","1958-03-02 00:00:00","Metcalfe","Madeleine","Sundorne School","Sundorne GP"
"Sundorne","England","44","Male","1969-05-24 00:00:00","Barry","Callum","Sundorne School","Sundorne GP"
"Sutton and Reabrook","England","45","Female","1996-05-28 00:00:00","Franklin","Alisha","Sutton School","Sutton GP"
"Sutton and Reabrook","England","46","Male","1992-11-16 00:00:00","Willis","Muhammad","Reabrook School","Sutton GP"
"Sutton and Reabrook","England","47","Female","1974-07-28 00:00:00","Chapman","Tegan","Reabrook School","Sutton GP"
"Underdale","England","48","Male","1992-09-28 00:00:00","Hawkins","Bailey","Underdale School","Underdale GP"
"Underdale","England","49","Female","2000-12-03 00:00:00","Bradley","Laura","Underdale School","Underdale GP"
"Underdale","England","50","Female","1940-01-30 00:00:00","Lucas","Eve","Underdale School","Underdale GP"
